"","festival_id","title","sub_title","artist","year","description","genre","latitude","longitude","age_category","ID"
"1","book","Denise Mina","HARD MEN AND CARDBOARD GANGSTERS","Denise Mina","2012","<p>
	As the grande dame of Scottish crime fiction, Denise Mina places a deep understanding of the social fabric of Glasgow at the heart of her blistering Alex Morrow series. In the latest affair, Gods And Beasts, DS Morrow investigates the senseless murder of an old man in a post office and proceeds to uncover blackmail, political chicanery and a bag of untraceable cash.</p>","Literature",55.951903,-3.206913,"","Denise Mina2012"
"2","book","Alex T Smith","","Alex T Smith","2012","<p>
	When Alex T Smith was a little boy he wanted to be a chef, a rabbit or a children&rsquo;s book illustrator. Guess which path he chose? Let Alex introduce you to Ella, the ladybird Cinderella from his brand new picture book. He shows you how to draw your very own Ella then you&#39;ll be let loose to decorate her in whatever style you choose! Perhaps you can create her some sparkly spectacles?</p>","Children",55.951903,-3.206913,"AGE 4 - 7","Alex T Smith2012"
"3","book","Challenging Expectations with Peter Cocks & Simon Mason","","Peter Cocks","2012","<p>
	Peter Cocks is known for his fantasy series Triskellion written with Mark Billingham; Simon Mason is the creator of The Quigleys series about an eccentric family, but both tackle darker issues in their new novels. Peter&#39;s Body Blow, the follow up to his gritty thriller Long Reach, finds Eddie Savage battling to escape from the ganglords of London&#39;s criminal underworld, whilst in Moon Pie, Simon features a family dealing with a lost mother and an alcoholic father. Why these subjects? And how does a writer tackle challenging issues in a sensitive yet realistic and engaging way?</p>","Children",55.951903,-3.206913,"AGE 11 - 14","Peter Cocks2012"
"4","book","Ian Black & Paul Mason","WHAT CAUSED THE 2011 REVOLUTIONS?","Paul Mason","2012","<p>
	Two books by influential journalists are among the first to look at the factors that caused a wave of protests across the world in 2011. BBC Newsnight Economics Editor Paul Mason discusses Why It&#39;s Kicking Off Everywhere, looking at the effect social media had on events, while the Guardian&#39;s Middle East Editor Ian Black talks about The Arab Spring &ndash; selected material from the Guardian&#39;s website during the momentous events. Chaired by Iain Macwhirter.</p>","Literature",55.951903,-3.206913,"","Paul Mason2012"
"5","book","The Last Dragon Chronicles with Chris d'Lacey","","Chris d'Lacey","2012","<p>
	Chris d&rsquo;Lacey tells you all about The Fire Ascending, the next exciting instalment in his breathtaking The Last Dragon Chronicles series. Get to know more about hero David Rain, his quest to save the tear of the last dragon and his thrilling endeavours to protect mankind and dragons from evil forces.</p>","Children",55.951903,-3.206913,"AGE 10 - 14","Chris d'Lacey2012"
"6","book","Sir Charlie Stinky Socks with Kristina Stephenson","","Kristina Stephenson","2012","<p>
	It&rsquo;s time for the honourable, feisty and courageous young hero, Sir Charlie Stinky Socks to return to Edinburgh and this time to discover the secret of the pitiful sobbing coming from the rumbling, grumbling castle. Join Kristina Stephenson for music and songs and one more of her now legendary, dramatic Book Festival appearances.</p>","Children",55.951903,-3.206913,"AGE 6 - 10","Kristina Stephenson2012"
"7","book","Annie Dalton","","Annie Dalton","2012","<p>
	Join Annie Dalton, writer of the popular Angels Unlimited series, for her latest story. If you like cats (especially magic cats) and cakes, then Moonbeans and the Dream Cafe is the book for you. Annie has created the first in a series of charming and heart-warming tales of a little girl with a magic kitten trying to fit in when she moves to a new town. Chaired by Vivian French.</p>","Children",55.951903,-3.206913,"AGE 6 - 10","Annie Dalton2012"
"8","book","The Story of the BBC in Scotland","MAKING BROADCAST HISTORY","Mike Shaw","2012","Since its establishment in 1922 the BBC has continually asserted itself as one of the great British institutions at home and abroad. David Pat Walker has written an in-depth analysis of the history of BBC Scotland from its creation in 1923 through to its 50th anniversary. Mike Shaw, who produced one of the 50th anniversary programmes and worked closely with Walker on the book, discusses the development of the BBC in Scotland with James Boyle.","Literature",55.951903,-3.206913,"","Mike Shaw2012"
"9","book","Creative Writing Class","PRESENTING LIFE WRITING","Alison Baverstock","2012","<p>
	Dwelling on highly personal material to allow it to emerge as effective writing can stir strong emotions. But when it comes to explaining it to others &ndash; potential investors or your family &ndash; the difficulties increase. It can be hard to detach yourself sufficiently and your right to handle the material at all, when those close to you are involved, may be difficult to defend. This course examines the&nbsp;issues, offering ideas on how to separate yourself from the&nbsp;work to present more effectively. The class is led by author Alison Baverstock, Course Leader for MA Publishing at Kingston University. (Lunch &amp; coffee included.)</p>","Literature",55.951903,-3.206913,"","Alison Baverstock2012"
"10","book","Debate: Rethinking Growth","ARE THERE ANY ALTERNATIVES TO MARKET FORCES?","Ferdinand Mount","2012","<p>
	The idea that the market is the best means to regulate society has been the dominant ideology of British life for 30 years. But if the banking crisis has put paid to the idea that &lsquo;the market knows best&rsquo;, is the only alternative a return to widespread nationalisation and the domination of the state? Or are new forms of local governance possible? Margaret Thatcher&rsquo;s former speechwriter <strong>Ferdinand Mount </strong>joins <strong>Jules Goddard</strong>, author of <em>Uncommon Sense, Common Nonsense</em> and <strong>Andri Sn&aelig;r Magnuson, </strong>Icelandic author of <em>Dreamland: A Self-Help Manual for a Frightened Nation</em> to take up the debate.</p>","Literature",55.951903,-3.206913,"","Ferdinand Mount2012"
